Day,Dogecoin: (Worldwide)
2021-02-24,6
2021-02-25,5
2021-02-26,4
2021-02-27,3
2021-02-28,3
2021-03-01,4
2021-03-02,4
2021-03-03,3
2021-03-04,3
2021-03-05,3
2021-03-06,3
2021-03-07,3
2021-03-08,5
2021-03-09,4
2021-03-10,4
2021-03-11,3
2021-03-12,3
2021-03-13,4
2021-03-14,5
2021-03-15,4
2021-03-16,3
2021-03-17,3
2021-03-18,3
2021-03-19,2
2021-03-20,3
2021-03-21,2
2021-03-22,2
2021-03-23,2
2021-03-24,2
2021-03-25,2
2021-03-26,2
2021-03-27,2
2021-03-28,2
2021-03-29,2
2021-03-30,2
2021-03-31,2
2021-04-01,4
2021-04-02,3
2021-04-03,2
2021-04-04,2
2021-04-05,2
2021-04-06,3
2021-04-07,3
2021-04-08,2
2021-04-09,2
2021-04-10,2
2021-04-11,6
2021-04-12,4
2021-04-13,9
2021-04-14,27
2021-04-15,23
2021-04-16,100
2021-04-17,47
2021-04-18,32
2021-04-19,39
2021-04-20,45
2021-04-21,26
2021-04-22,21
2021-04-23,22
2021-04-24,16
2021-04-25,12
2021-04-26,12
2021-04-27,11
2021-04-28,17
2021-04-29,14
2021-04-30,11
2021-05-01,15
2021-05-02,15
2021-05-03,20
2021-05-04,49
2021-05-05,61
2021-05-06,41
2021-05-07,39
2021-05-08,55
2021-05-09,91
2021-05-10,48
2021-05-11,33
2021-05-12,26
2021-05-13,33
2021-05-14,34
2021-05-15,23
2021-05-16,20
2021-05-17,19
2021-05-18,15
2021-05-19,26
2021-05-20,20
2021-05-21,15
2021-05-22,13
2021-05-23,15
2021-05-24,14
2021-05-25,12
2021-05-26,10
2021-05-27,9
2021-05-28,9
2021-05-29,8
2021-05-30,7
2021-05-31,7
2021-06-01,9
2021-06-02,15
2021-06-03,13
2021-06-04,10
2021-06-05,8
2021-06-06,7
2021-06-07,7
2021-06-08,8
2021-06-09,7
2021-06-10,6
2021-06-11,5
2021-06-12,5
2021-06-13,6
2021-06-14,6
2021-06-15,5
2021-06-16,4
2021-06-17,4
2021-06-18,5
2021-06-19,4
2021-06-20,5
2021-06-21,10
2021-06-22,11
2021-06-23,7
2021-06-24,6
2021-06-25,6
2021-06-26,5
2021-06-27,4
2021-06-28,4
2021-06-29,5
2021-06-30,4
2021-07-01,6
2021-07-02,5
2021-07-03,5
2021-07-04,5
2021-07-05,4
2021-07-06,4
2021-07-07,3
2021-07-08,4
2021-07-09,5
2021-07-10,3
2021-07-11,3
2021-07-12,3
2021-07-13,4
2021-07-14,3
2021-07-15,4
2021-07-16,4
2021-07-17,4
2021-07-18,4
2021-07-19,4
2021-07-20,5
2021-07-21,4
2021-07-22,4
2021-07-23,3
2021-07-24,3
2021-07-25,3
2021-07-26,5
2021-07-27,3
2021-07-28,3
2021-07-29,3
2021-07-30,2
2021-07-31,3
2021-08-01,2
2021-08-02,3
2021-08-03,2
2021-08-04,2
2021-08-05,2
2021-08-06,3
2021-08-07,4
2021-08-08,5
2021-08-09,4
2021-08-10,3
2021-08-11,4
2021-08-12,4
2021-08-13,4
2021-08-14,4
2021-08-15,6
2021-08-16,6
2021-08-17,4
2021-08-18,4
2021-08-19,4
2021-08-20,4
2021-08-21,3
2021-08-22,3
2021-08-23,4
2021-08-24,4
2021-08-25,3
2021-08-26,3
2021-08-27,3
2021-08-28,3
2021-08-29,2
2021-08-30,2
2021-08-31,3
2021-09-01,3
2021-09-02,3
2021-09-03,3
2021-09-04,3
2021-09-05,3
2021-09-06,3
2021-09-07,3
2021-09-08,3
2021-09-09,2
2021-09-10,2
2021-09-11,2
2021-09-12,2
2021-09-13,2
2021-09-14,2
2021-09-15,2
2021-09-16,2
2021-09-17,2
2021-09-18,2
2021-09-19,2
2021-09-20,2
2021-09-21,2
2021-09-22,2
2021-09-23,2
2021-09-24,2
2021-09-25,2
2021-09-26,2
2021-09-27,2
2021-09-28,2
2021-09-29,2
2021-09-30,2
2021-10-01,2
2021-10-02,2
2021-10-03,2
2021-10-04,3
2021-10-05,4
2021-10-06,4
2021-10-07,3
2021-10-08,3
2021-10-09,3
2021-10-10,2
2021-10-11,3
2021-10-12,3
2021-10-13,2
2021-10-14,3
2021-10-15,3
2021-10-16,3
2021-10-17,2
2021-10-18,4
2021-10-19,3
2021-10-20,3
2021-10-21,3
2021-10-22,3
2021-10-23,3
2021-10-24,4
2021-10-25,4
2021-10-26,4
2021-10-27,5
2021-10-28,9
2021-10-29,6
2021-10-30,5
2021-10-31,5
2021-11-01,5
2021-11-02,4
2021-11-03,3
2021-11-04,3
2021-11-05,3
2021-11-06,3
2021-11-07,3
2021-11-08,4
2021-11-09,4
2021-11-10,3
2021-11-11,3
2021-11-12,3
2021-11-13,3
2021-11-14,3
2021-11-15,3
2021-11-16,2
2021-11-17,3
2021-11-18,3
2021-11-19,2